# PROC_ID PARCEL_ID CellI X Y Z p Ux Uy Uz T C3H8 CO2 H2O N2 O2 largest_pointer wherePositive largest_pointerWP
2.000000e+00 2.830000e+02 2.024000e+03 1.401450e-01 3.854810e-02 5.000000e-04 1.115500e+05 3.305330e+01 -1.299130e+00 0.000000e+00 2.908830e+02 1.848330e-01 4.262490e-04 2.326450e-04 6.275690e-01 1.869390e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 3.580000e+02 2.234000e+03 1.427150e-01 4.299630e-02 5.000000e-04 1.114470e+05 3.365780e+01 -5.468740e-01 0.000000e+00 2.905360e+02 1.807310e-01 2.694350e-04 1.470560e-04 6.307680e-01 1.880850e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 2.070000e+02 1.246000e+03 1.428170e-01 2.355290e-02 5.000000e-04 1.110340e+05 5.644880e+01 -9.885650e+00 0.000000e+00 1.738520e+03 9.172240e-02 1.621170e-01 8.848300e-02 6.576770e-01 5.244790e-07 6.000000e+00 1.000000e+00 7.000000e+00
2.000000e+00 2.440000e+02 1.349000e+03 1.411150e-01 2.515490e-02 5.000000e-04 1.111660e+05 4.149870e+01 -7.256220e+00 0.000000e+00 1.748260e+03 9.676270e-02 1.601420e-01 8.740490e-02 6.543050e-01 1.385620e-03 6.000000e+00 1.000000e+00 7.000000e+00
2.000000e+00 3.190000e+02 1.917000e+03 1.375910e-01 3.685160e-02 5.000000e-04 1.118290e+05 3.464530e+01 2.397650e-01 0.000000e+00 2.921580e+02 1.825110e-01 3.494960e-03 1.907530e-03 6.285680e-01 1.835190e-01 7.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 3.570000e+02 1.917000e+03 1.370680e-01 3.690620e-02 5.000000e-04 1.118290e+05 3.464530e+01 2.397650e-01 0.000000e+00 2.921580e+02 1.825110e-01 3.494960e-03 1.907530e-03 6.285680e-01 1.835190e-01 7.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 3.960000e+02 2.076000e+03 1.403260e-01 3.984230e-02 5.000000e-04 1.115860e+05 3.352810e+01 -1.652180e+00 0.000000e+00 2.906960e+02 1.851730e-01 2.130120e-04 1.162610e-04 6.273620e-01 1.871350e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 3.950000e+02 1.970000e+03 1.383320e-01 3.793800e-02 5.000000e-04 1.116810e+05 3.395030e+01 -1.288920e+00 0.000000e+00 2.912130e+02 1.830550e-01 1.575000e-03 8.596310e-04 6.286430e-01 1.858670e-01 1.000000e+01 0.000000e+00 0.000000e+00
2.000000e+00 3.610000e+02 2.391000e+03 1.432810e-01 4.557670e-02 5.000000e-04 1.112430e+05 3.401530e+01 -6.568870e-02 0.000000e+00 2.903950e+02 1.604390e-01 3.440430e-04 1.877770e-04 6.463730e-01 1.926560e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 3.970000e+02 2.233000e+03 1.418930e-01 4.259500e-02 5.000000e-04 1.114550e+05 3.411600e+01 -8.893090e-01 0.000000e+00 2.905730e+02 1.829640e-01 5.282400e-04 2.883110e-04 6.289810e-01 1.872380e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 2.840000e+02 2.547000e+03 1.435790e-01 4.805180e-02 5.000000e-04 1.112560e+05 3.290580e+01 9.388220e-01 0.000000e+00 2.903830e+02 1.439820e-01 3.577470e-05 1.952570e-05 6.591250e-01 1.968380e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 3.940000e+02 1.968000e+03 1.362000e-01 3.726660e-02 5.000000e-04 1.118430e+05 3.453430e+01 3.239290e-01 0.000000e+00 2.943850e+02 1.790420e-01 6.986840e-03 3.813390e-03 6.303410e-01 1.798170e-01 7.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.710000e+02 2.495000e+03 1.433290e-01 4.797040e-02 5.000000e-04 1.112340e+05 3.434130e+01 1.016610e+00 0.000000e+00 2.903280e+02 1.442460e-01 1.028040e-04 5.611010e-05 6.589040e-01 1.966910e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 4.330000e+02 2.075000e+03 1.392090e-01 3.936740e-02 5.000000e-04 1.115860e+05 3.375420e+01 -1.707910e+00 0.000000e+00 2.907090e+02 1.860000e-01 4.417840e-04 2.411240e-04 6.266670e-01 1.866500e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 4.320000e+02 2.021000e+03 1.375180e-01 3.843550e-02 5.000000e-04 1.116010e+05 3.381910e+01 -3.683170e-01 0.000000e+00 2.925360e+02 1.848280e-01 4.256530e-03 2.323200e-03 6.265890e-01 1.820040e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 3.930000e+02 1.967000e+03 1.350610e-01 3.711320e-02 5.000000e-04 1.118420e+05 3.517780e+01 1.362900e+00 0.000000e+00 3.043810e+02 1.741580e-01 1.555370e-02 8.489140e-03 6.318980e-01 1.699010e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 2.820000e+02 1.501000e+03 1.372150e-01 2.857850e-02 5.000000e-04 1.113560e+05 3.538830e+01 -1.014100e+00 0.000000e+00 3.055190e+02 1.573640e-01 1.950070e-02 1.064340e-02 6.438130e-01 1.686790e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 2.450000e+02 1.501000e+03 1.373290e-01 2.809650e-02 5.000000e-04 1.113560e+05 3.538830e+01 -1.014100e+00 0.000000e+00 3.055190e+02 1.573640e-01 1.950070e-02 1.064340e-02 6.438130e-01 1.686790e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 4.310000e+02 2.020000e+03 1.364170e-01 3.858430e-02 5.000000e-04 1.116200e+05 3.403050e+01 5.481160e-01 0.000000e+00 2.943910e+02 1.847600e-01 6.375370e-03 3.479650e-03 6.260960e-01 1.792890e-01 9.000000e+00 0.000000e+00 0.000000e+00
