# PROC_ID	PARCEL_ID	CellI	X	Y	Z	p	Ux	Uy	Uz	T	C3H8	CO2	H2O	N2	O2
2	73	407	0.13529	0.00794258	0.0005	106276	32.5567	-3.29608	0	288.993	0.221233	1.70592e-10	9.31086e-11	0.59965	0.179117
2	72	355	0.135089	0.00656352	0.0005	106297	32.5074	-2.92581	0	288.684	0.194748	1.57481e-10	8.59523e-11	0.620044	0.185209
2	74	661	0.129695	0.0127837	0.0005	106343	28.7653	-0.947052	0	290.266	0.250554	3.97396e-10	2.16897e-10	0.577073	0.172373
2	75	509	0.133266	0.00986533	0.0005	106288	31.7092	-2.94833	0	289.397	0.232824	4.10177e-10	2.23873e-10	0.590725	0.176451
2	71	353	0.133341	0.00695194	0.0005	106325	31.6204	-2.21147	0	288.459	0.147548	3.91901e-10	2.13898e-10	0.656388	0.196065
2	70	298	0.130041	0.00522749	0.0005	106363	30.7689	-0.297204	0	287.934	0.0643327	5.12389e-10	2.7966e-10	0.720464	0.215204
2	68	38	0.130799	0	0.0005	106430	31.8715	-0.0380598	0	289.012	0.00592958	7.32986e-12	4.00061e-12	0.765434	0.228636
2	69	142	0.13057	0.00259163	0.0005	106410	31.5836	-0.139944	0	288.134	0.0229929	5.86538e-11	3.2013e-11	0.752296	0.224711
2	112	454	0.130132	0.00891809	0.0005	106345	31.4249	-0.946832	0	289.7	0.15458	1.85002e-09	1.00973e-09	0.650974	0.194447
2	111	401	0.129316	0.00775297	0.0005	106364	30.8804	0.167863	0	289.212	0.107305	2.00758e-09	1.09573e-09	0.687375	0.20532
2	113	506	0.130223	0.00934359	0.0005	106345	31.6673	-1.31964	0	290.347	0.188124	1.80424e-09	9.84748e-10	0.625145	0.186731
2	110	348	0.12892	0.00616541	0.0005	106398	30.8756	0.617446	0	288.864	0.085763	2.43213e-09	1.32745e-09	0.703963	0.210274
2	114	505	0.129866	0.00938701	0.0005	106358	31.3584	-0.303071	0	290.961	0.184879	2.54709e-09	1.39019e-09	0.627644	0.187477
2	109	192	0.128805	0.00388101	0.0005	106423	31.5097	0.100095	0	288.438	0.0442481	4.51968e-10	2.46682e-10	0.73593	0.219822
2	115	453	0.129087	0.00848545	0.0005	106359	31.1455	0.0201601	0	289.985	0.153182	2.35215e-09	1.2838e-09	0.65205	0.194768
2	108	140	0.128757	0.00205266	0.0005	106429	31.6545	0.0655443	0	288.652	0.0277174	1.76193e-10	9.61652e-11	0.748658	0.223624
2	107	88	0.128695	0.00130478	0.0005	106432	31.7951	0.05304	0	288.92	0.0135331	5.71724e-11	3.12044e-11	0.75958	0.226887
2	106	36	0.128554	0	0.0005	106434	31.7971	0.0138616	0	289.172	0.00632279	1.70085e-11	9.28319e-12	0.765131	0.228546
2	118	348	0.128098	0.00648765	0.0005	106398	30.8756	0.617446	0	288.864	0.085763	2.43213e-09	1.32745e-09	0.703963	0.210274
2	116	191	0.127307	0.00328414	0.0005	106442	31.6644	0.113648	0	289.035	0.0533747	7.98389e-10	4.35758e-10	0.728902	0.217723
2	152	399	0.12743	0.00731528	0.0005	106408	31.3669	1.18945	0	290.696	0.115407	5.89524e-09	3.2176e-09	0.681137	0.203456
2	89	607	0.127203	0.0115005	0.0005	106371	29.6678	0.907219	0	293.031	0.229055	1.69465e-09	9.24934e-10	0.593628	0.177317
2	151	294	0.126711	0.00545083	0.0005	106452	31.8493	0.281306	0	291.73	0.0962312	5.73856e-09	3.13208e-09	0.695903	0.207866
