# PROC_ID	PARCEL_ID	CellI	X	Y	Z	p	Ux	Uy	Uz	T	C3H8	CO2	H2O	N2	O2
2	68	2013	-0.0135264	0	0.0005	101017	25.3736	-0.0261469	0	287.721	9.3135e-34	1.91727e-43	1.04644e-43	0.77	0.23
2	69	2013	-0.0135247	0.000779441	0.0005	101017	25.3736	-0.0261469	0	287.721	9.3135e-34	1.91727e-43	1.04644e-43	0.77	0.23
2	70	2038	-0.0135237	0.00157089	0.0005	101019	25.3809	0.0289736	0	287.72	3.91813e-32	7.72181e-42	4.21453e-42	0.77	0.23
2	71	2063	-0.0135222	0.00234546	0.0005	101020	25.3901	-0.0269993	0	287.724	2.35048e-30	4.22756e-40	2.30739e-40	0.77	0.23
2	72	2088	-0.0135201	0.00313619	0.0005	101022	25.4141	0.0271803	0	287.72	2.44938e-28	4.15511e-38	2.26784e-38	0.77	0.23
2	73	2088	-0.0135177	0.00391563	0.0005	101022	25.4141	0.0271803	0	287.72	2.44938e-28	4.15511e-38	2.26784e-38	0.77	0.23
2	74	2113	-0.0135145	0.00469169	0.0005	101022	25.4331	-0.0431846	0	287.724	1.66565e-26	2.83728e-36	1.54857e-36	0.77	0.23
2	75	2138	-0.01351	0.0054841	0.0005	101022	25.4772	0.00893166	0	287.722	1.14428e-24	1.96509e-34	1.07254e-34	0.77	0.23
2	76	2163	-0.0135073	0.00625324	0.0005	101021	25.4956	-0.0844434	0	287.722	8.56798e-23	1.59292e-32	8.6941e-33	0.77	0.23
2	77	2188	-0.0134997	0.00704311	0.0005	101024	25.5617	-0.0299313	0	287.719	5.3295e-21	1.06266e-30	5.79996e-31	0.77	0.23
2	78	2188	-0.0134941	0.00782127	0.0005	101024	25.5617	-0.0299313	0	287.719	5.3295e-21	1.06266e-30	5.79996e-31	0.77	0.23
2	79	2213	-0.0134852	0.00859176	0.0005	101026	25.5655	-0.151688	0	287.722	1.99392e-19	4.52355e-29	2.46894e-29	0.77	0.23
2	80	2238	-0.0134853	0.00938431	0.0005	101030	25.6778	-0.0909087	0	287.725	5.14888e-18	1.18922e-27	6.49072e-28	0.77	0.23
2	81	2264	-0.0140991	0.010142	0.0005	101008	23.7771	-0.201433	0	287.775	5.76014e-18	1.35011e-27	7.36886e-28	0.77	0.23
2	82	2273	-0.0239966	0.011	0.0005	100914	23.2552	-0.147235	0	287.419	1.94816e-28	3.4223e-38	1.86788e-38	0.77	0.23
2	83	2298	-0.0239966	0.018	0.0005	102988	22.8238	0.134744	0	288.296	2.83842e-29	5.50671e-39	3.00554e-39	0.77	0.23
2	84	2291	-0.0165409	0.0185524	0.0005	102934	21.5115	0.162567	0	288.339	2.54293e-21	3.44309e-31	1.87923e-31	0.77	0.23
2	85	2313	-0.0139532	0.0190509	0.0005	102883	22.8094	0.106282	0	288.263	4.63699e-19	5.30595e-29	2.89597e-29	0.77	0.23
2	86	2313	-0.0138337	0.0195341	0.0005	102883	22.8094	0.106282	0	288.263	4.63699e-19	5.30595e-29	2.89597e-29	0.77	0.23
2	87	2338	-0.0138064	0.0200279	0.0005	102880	22.7223	0.0550224	0	288.259	1.72119e-20	2.06758e-30	1.12848e-30	0.77	0.23
2	88	2338	-0.0138196	0.0205209	0.0005	102880	22.7223	0.0550224	0	288.259	1.72119e-20	2.06758e-30	1.12848e-30	0.77	0.23
2	89	2363	-0.0138184	0.0210121	0.0005	102878	22.791	-0.00899389	0	288.256	2.89898e-22	3.97387e-32	2.16892e-32	0.77	0.23
2	90	2363	-0.0138156	0.0214996	0.0005	102878	22.791	-0.00899389	0	288.256	2.89898e-22	3.97387e-32	2.16892e-32	0.77	0.23
2	91	2363	-0.0138185	0.0219903	0.0005	102878	22.791	-0.00899389	0	288.256	2.89898e-22	3.97387e-32	2.16892e-32	0.77	0.23
2	92	2388	-0.0138199	0.0224784	0.0005	102875	22.7175	-0.071932	0	288.257	1.96215e-21	2.36911e-31	1.29305e-31	0.77	0.23
2	93	2388	-0.0138067	0.0229717	0.0005	102875	22.7175	-0.071932	0	288.257	1.96215e-21	2.36911e-31	1.29305e-31	0.77	0.23
2	94	2413	-0.0138341	0.0234655	0.0005	102874	22.8019	-0.118021	0	288.26	6.48124e-20	7.93592e-30	4.33139e-30	0.77	0.23
2	95	2413	-0.0139537	0.0239489	0.0005	102874	22.8019	-0.118021	0	288.26	6.48124e-20	7.93592e-30	4.33139e-30	0.77	0.23
2	96	2441	-0.016573	0.0244507	0.0005	102927	21.5095	-0.166317	0	288.337	2.7315e-22	3.40294e-32	1.85731e-32	0.77	0.23
2	97	2448	-0.0239966	0.025	0.0005	102994	22.8148	-0.128393	0	288.297	8.25584e-31	1.50862e-40	8.234e-41	0.77	0.23
2	106	2019	-0.0193593	0	0.0005	100921	24.2063	-0.0201967	0	287.347	1.79363e-39	3.59247e-49	1.96075e-49	0.77	0.23
2	107	2019	-0.0193593	0.000783038	0.0005	100921	24.2063	-0.0201967	0	287.347	1.79363e-39	3.59247e-49	1.96075e-49	0.77	0.23
2	108	2044	-0.0193592	0.00157168	0.0005	100921	24.2057	0.00609192	0	287.347	7.96954e-38	1.66373e-47	9.08056e-48	0.77	0.23
2	109	2069	-0.0193588	0.00235346	0.0005	100921	24.2083	-0.0384019	0	287.347	3.39276e-36	7.05439e-46	3.85026e-46	0.77	0.23
2	110	2094	-0.019359	0.00314239	0.0005	100922	24.2072	-0.00888982	0	287.343	1.14814e-34	2.32697e-44	1.27005e-44	0.77	0.23
2	111	2094	-0.0193586	0.00392521	0.0005	100922	24.2072	-0.00888982	0	287.343	1.14814e-34	2.32697e-44	1.27005e-44	0.77	0.23
2	112	2119	-0.0193579	0.00470702	0.0005	100922	24.2121	-0.0658314	0	287.347	5.46068e-33	1.12951e-42	6.16484e-43	0.77	0.23
2	113	2144	-0.0193576	0.00549611	0.0005	100925	24.2168	-0.0276453	0	287.346	2.05264e-31	4.12204e-41	2.24979e-41	0.77	0.23
2	114	2169	-0.0193567	0.00627572	0.0005	100927	24.2246	-0.105442	0	287.343	1.00839e-29	1.87369e-39	1.02265e-39	0.77	0.23
2	115	2194	-0.0193558	0.00706479	0.0005	100930	24.2494	-0.0509863	0	287.346	7.41688e-28	1.2636e-37	6.89668e-38	0.77	0.23
2	116	2194	-0.0193549	0.00784631	0.0005	100930	24.2494	-0.0509863	0	287.346	7.41688e-28	1.2636e-37	6.89668e-38	0.77	0.23
2	117	2219	-0.019352	0.00862842	0.0005	100930	24.2538	-0.16079	0	287.347	3.28729e-26	5.32768e-36	2.90783e-36	0.77	0.23
2	118	2244	-0.0193502	0.00941566	0.0005	100933	24.3722	-0.079151	0	287.343	1.28961e-24	2.16577e-34	1.18207e-34	0.77	0.23
2	119	2269	-0.0196269	0.0101858	0.0005	100930	23.6037	-0.242799	0	287.374	2.2875e-23	3.9687e-33	2.1661e-33	0.77	0.23
2	120	2274	-0.0240131	0.011	0.0005	100922	23.0378	-0.0965185	0	287.685	3.64367e-30	6.96072e-40	3.79913e-40	0.77	0.23
2	121	2299	-0.0240131	0.018	0.0005	102989	22.9715	0.0903454	0	288.143	5.9061e-31	1.20109e-40	6.55549e-41	0.77	0.23
2	122	2295	-0.0208358	0.0185219	0.0005	102970	22.3165	0.183158	0	288.506	1.11805e-25	2.20081e-35	1.20119e-35	0.77	0.23
2	123	2319	-0.0195657	0.0190186	0.0005	102967	22.9017	0.0771601	0	288.472	1.22459e-25	2.41642e-35	1.31887e-35	0.77	0.23
2	124	2319	-0.0195454	0.0195099	0.0005	102967	22.9017	0.0771601	0	288.472	1.22459e-25	2.41642e-35	1.31887e-35	0.77	0.23
2	125	2344	-0.0195417	0.020009	0.0005	102965	22.7831	0.0561771	0	288.474	3.22799e-27	6.48456e-37	3.53925e-37	0.77	0.23
