# PROC_ID PARCEL_ID CellI X Y Z p Ux Uy Uz T C3H8 CO2 H2O N2 O2 largest_pointer wherePositive largest_pointerWP
2.000000e+00 9.000000e+01 1.080000e+03 8.059180e-02 2.014520e-02 5.000000e-04 1.026920e+05 1.140240e+01 4.385510e+00 0.000000e+00 2.928570e+02 1.831410e-01 1.249240e-11 6.818300e-12 6.289810e-01 1.878780e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8.900000e+01 5.600000e+02 8.015120e-02 1.079590e-02 5.000000e-04 1.026250e+05 1.715970e+01 -3.060190e+00 0.000000e+00 2.976720e+02 2.784080e-01 2.578140e-10 1.407140e-10 5.556260e-01 1.659660e-01 7.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8.800000e+01 5.590000e+02 7.941230e-02 1.045270e-02 5.000000e-04 1.026300e+05 1.612250e+01 -2.473080e+00 0.000000e+00 2.971610e+02 2.797060e-01 4.136950e-10 2.257930e-10 5.546270e-01 1.656680e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8.700000e+01 5.580000e+02 7.837760e-02 1.086730e-02 5.000000e-04 1.026410e+05 1.510360e+01 -1.275000e+00 0.000000e+00 2.973920e+02 2.757080e-01 9.713360e-10 5.301510e-10 5.577040e-01 1.665880e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.100000e+01 1.183000e+03 7.996260e-02 2.293070e-02 5.000000e-04 1.026960e+05 1.088190e+01 4.676260e+00 0.000000e+00 2.934090e+02 1.895480e-01 6.005260e-12 3.277650e-12 6.240480e-01 1.864040e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8.600000e+01 6.590000e+02 7.591200e-02 1.264350e-02 5.000000e-04 1.026390e+05 1.023040e+01 3.393220e+00 0.000000e+00 2.954180e+02 2.733570e-01 1.220560e-09 6.661770e-10 5.595140e-01 1.671290e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.400000e+01 6.220000e+02 9.031000e-02 1.174780e-02 5.000000e-04 1.027050e+05 1.540730e+01 2.432140e+00 0.000000e+00 2.887710e+02 1.669350e-01 3.448850e-11 1.882370e-11 6.414590e-01 1.916060e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.200000e+01 1.184000e+03 8.003800e-02 2.244580e-02 5.000000e-04 1.027000e+05 1.036560e+01 5.685710e+00 0.000000e+00 2.933120e+02 1.948840e-01 5.657600e-12 3.087900e-12 6.199400e-01 1.851760e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.300000e+01 5.700000e+02 9.077290e-02 1.021470e-02 5.000000e-04 1.026970e+05 1.651180e+01 2.180710e+00 0.000000e+00 2.896780e+02 1.585850e-01 5.236480e-11 2.858050e-11 6.478880e-01 1.935270e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.200000e+01 4.660000e+02 9.018340e-02 8.783780e-03 5.000000e-04 1.026830e+05 1.709410e+01 1.042260e+00 0.000000e+00 2.896160e+02 1.308740e-01 6.915640e-11 3.774530e-11 6.692270e-01 1.998990e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 6.800000e+01 4.600000e+01 8.608550e-02 0.000000e+00 5.000000e-04 1.026430e+05 1.675360e+01 1.040100e-01 0.000000e+00 2.880860e+02 4.696450e-03 9.525240e-13 5.198840e-13 7.663840e-01 2.289200e-01 7.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 6.900000e+01 1.500000e+02 8.607080e-02 2.103580e-03 5.000000e-04 1.026410e+05 1.668680e+01 6.182310e-01 0.000000e+00 2.883710e+02 1.825480e-02 1.129760e-11 6.166180e-12 7.559440e-01 2.258010e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.000000e+01 2.020000e+02 8.611660e-02 3.920870e-03 5.000000e-04 1.026400e+05 1.667040e+01 8.873230e-01 0.000000e+00 2.888960e+02 3.294630e-02 2.981700e-11 1.627400e-11 7.446310e-01 2.224220e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.100000e+01 4.120000e+02 8.863820e-02 7.449490e-03 5.000000e-04 1.026570e+05 1.765650e+01 2.305080e+00 0.000000e+00 2.935890e+02 1.207780e-01 1.542620e-10 8.419530e-11 6.770000e-01 2.022220e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.500000e+01 5.170000e+02 8.938340e-02 9.994120e-03 5.000000e-04 1.026770e+05 1.792920e+01 2.840410e+00 0.000000e+00 2.942640e+02 1.884240e-01 1.249780e-10 6.821250e-11 6.249150e-01 1.866620e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.300000e+01 1.132000e+03 8.019940e-02 2.150270e-02 5.000000e-04 1.026970e+05 1.085080e+01 5.214320e+00 0.000000e+00 2.931580e+02 1.869260e-01 8.922470e-12 4.869850e-12 6.260670e-01 1.870070e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.600000e+01 8.610000e+02 6.954730e-02 1.651900e-02 5.000000e-04 1.026170e+05 1.082710e+01 3.511550e+00 0.000000e+00 2.961630e+02 2.922780e-01 7.127810e-10 3.890330e-10 5.449460e-01 1.627760e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.400000e+01 1.028000e+03 8.024500e-02 1.993250e-02 5.000000e-04 1.026870e+05 1.177880e+01 3.306190e+00 0.000000e+00 2.926280e+02 1.829680e-01 1.719110e-11 9.382860e-12 6.291140e-01 1.879180e-01 7.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.130000e+02 3.550000e+02 8.363130e-02 6.289000e-03 5.000000e-04 1.026290e+05 1.887230e+01 5.625800e-01 0.000000e+00 3.111930e+02 1.540920e-01 6.484790e-10 3.539370e-10 6.513500e-01 1.945580e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.120000e+02 3.040000e+02 8.408480e-02 5.812030e-03 5.000000e-04 1.026310e+05 1.839840e+01 1.801680e+00 0.000000e+00 2.969020e+02 6.968790e-02 3.387490e-10 1.848880e-10 7.163410e-01 2.139710e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.110000e+02 2.520000e+02 8.419470e-02 4.994180e-03 5.000000e-04 1.026330e+05 1.775330e+01 1.341760e+00 0.000000e+00 2.911740e+02 4.815860e-02 1.477420e-10 8.063690e-11 7.329180e-01 2.189230e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.140000e+02 3.550000e+02 8.321320e-02 6.378230e-03 5.000000e-04 1.026290e+05 1.887230e+01 5.625800e-01 0.000000e+00 3.111930e+02 1.540920e-01 6.484790e-10 3.539370e-10 6.513500e-01 1.945580e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.100000e+02 2.510000e+02 8.396310e-02 4.237550e-03 5.000000e-04 1.026330e+05 1.817990e+01 1.154160e+00 0.000000e+00 2.930140e+02 5.873730e-02 3.107910e-10 1.696280e-10 7.247730e-01 2.164900e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.090000e+02 1.470000e+02 8.354940e-02 2.962920e-03 5.000000e-04 1.026370e+05 1.754980e+01 5.204770e-01 0.000000e+00 2.886780e+02 1.957680e-02 4.855110e-11 2.649900e-11 7.549260e-01 2.254970e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.080000e+02 9.500000e+01 8.333060e-02 1.648870e-03 5.000000e-04 1.026380e+05 1.760280e+01 2.250610e-01 0.000000e+00 2.882510e+02 7.906000e-03 1.298280e-11 7.085960e-12 7.639120e-01 2.281820e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.070000e+02 9.500000e+01 8.320050e-02 1.064860e-03 5.000000e-04 1.026380e+05 1.760280e+01 2.250610e-01 0.000000e+00 2.882510e+02 7.906000e-03 1.298280e-11 7.085960e-12 7.639120e-01 2.281820e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.060000e+02 4.300000e+01 8.309790e-02 0.000000e+00 5.000000e-04 1.026390e+05 1.749500e+01 1.254000e-01 0.000000e+00 2.881400e+02 2.860830e-03 3.245860e-12 1.771580e-12 7.677970e-01 2.293420e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.150000e+02 3.020000e+02 8.297920e-02 5.649750e-03 5.000000e-04 1.026300e+05 1.803410e+01 3.137850e-01 0.000000e+00 3.088510e+02 1.088010e-01 8.224550e-10 4.488930e-10 6.862240e-01 2.049750e-01 1.100000e+01 0.000000e+00 0.000000e+00
2.000000e+00 1.180000e+02 2.500000e+02 8.208300e-02 4.900500e-03 5.000000e-04 1.026310e+05 1.833000e+01 7.002000e-01 0.000000e+00 2.967460e+02 8.015890e-02 5.862350e-10 3.199650e-10 7.082780e-01 2.115630e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.700000e+01 9.120000e+02 6.869510e-02 1.776750e-02 5.000000e-04 1.026230e+05 1.263940e+01 2.834900e+00 0.000000e+00 2.998770e+02 2.568600e-01 1.759220e-09 9.601740e-10 5.722160e-01 1.709240e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.160000e+02 1.450000e+02 8.129940e-02 2.963780e-03 5.000000e-04 1.026350e+05 1.794800e+01 8.187850e-02 0.000000e+00 2.896070e+02 4.041050e-02 1.954200e-10 1.066590e-10 7.388840e-01 2.207050e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.280000e+02 8.190000e+02 7.945470e-02 1.563740e-02 5.000000e-04 1.026410e+05 1.317620e+01 -3.741960e+00 0.000000e+00 2.934040e+02 2.246450e-01 3.749620e-11 2.046530e-11 5.970230e-01 1.783320e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.270000e+02 8.190000e+02 7.927590e-02 1.547830e-02 5.000000e-04 1.026410e+05 1.317620e+01 -3.741960e+00 0.000000e+00 2.934040e+02 2.246450e-01 3.749620e-11 2.046530e-11 5.970230e-01 1.783320e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.170000e+02 1.440000e+02 8.001570e-02 2.726210e-03 5.000000e-04 1.026330e+05 1.795880e+01 -1.258640e-01 0.000000e+00 2.904210e+02 5.335210e-02 2.827400e-10 1.543190e-10 7.289200e-01 2.177280e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.290000e+02 8.710000e+02 7.932460e-02 1.667590e-02 5.000000e-04 1.026520e+05 1.341040e+01 -2.579200e+00 0.000000e+00 2.931490e+02 2.105770e-01 3.981370e-11 2.173020e-11 6.078550e-01 1.815680e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.260000e+02 8.700000e+02 7.874710e-02 1.630390e-02 5.000000e-04 1.026380e+05 1.441570e+01 -3.100060e+00 0.000000e+00 2.931130e+02 2.134350e-01 6.133790e-11 3.347800e-11 6.056540e-01 1.809110e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.300000e+02 9.220000e+02 7.859750e-02 1.778390e-02 5.000000e-04 1.026420e+05 1.485330e+01 -2.281820e+00 0.000000e+00 2.925370e+02 1.933720e-01 6.240390e-11 3.405980e-11 6.211030e-01 1.855250e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.500000e+01 1.025000e+03 7.730250e-02 1.945880e-02 5.000000e-04 1.026440e+05 1.518040e+01 -9.878980e-01 0.000000e+00 2.907460e+02 1.448810e-01 7.045430e-11 3.845370e-11 6.584400e-01 1.966780e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.310000e+02 1.025000e+03 7.703270e-02 1.928140e-02 5.000000e-04 1.026440e+05 1.518040e+01 -9.878980e-01 0.000000e+00 2.907460e+02 1.448810e-01 7.045430e-11 3.845370e-11 6.584400e-01 1.966780e-01 5.000000e+00 0.000000e+00 0.000000e+00
