# PROC_ID PARCEL_ID CellI X Y Z p Ux Uy Uz T C3H8 CO2 H2O N2 O2 largest_pointer wherePositive largest_pointerWP
2.000000e+00 9.000000e+01 8.500000e+02 5.822380e-02 1.692590e-02 5.000000e-04 1.023620e+05 1.836970e+01 6.646410e-01 0.000000e+00 2.889520e+02 2.886000e-01 1.830620e-12 9.991440e-13 5.477780e-01 1.636220e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8.900000e+01 7.970000e+02 5.765840e-02 1.539010e-02 5.000000e-04 1.023680e+05 1.857320e+01 -1.083980e+00 0.000000e+00 2.896380e+02 2.763940e-01 6.301490e-12 3.439330e-12 5.571770e-01 1.664290e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8.800000e+01 7.450000e+02 5.706250e-02 1.454290e-02 5.000000e-04 1.023540e+05 1.696710e+01 -2.244520e+00 0.000000e+00 2.896550e+02 3.156800e-01 3.487100e-12 1.903240e-12 5.269260e-01 1.573940e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8.700000e+01 7.440000e+02 5.667730e-02 1.405490e-02 5.000000e-04 1.023440e+05 1.791040e+01 -1.988480e+00 0.000000e+00 2.902590e+02 2.584610e-01 8.907920e-12 4.861910e-12 5.709850e-01 1.705540e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.100000e+01 9.020000e+02 5.814100e-02 1.751390e-02 5.000000e-04 1.023600e+05 1.849360e+01 2.182710e+00 0.000000e+00 2.886510e+02 2.745870e-01 1.052870e-12 5.746520e-13 5.585680e-01 1.668450e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8.600000e+01 6.910000e+02 5.591900e-02 1.353450e-02 5.000000e-04 1.023390e+05 1.690020e+01 -2.339160e+00 0.000000e+00 2.908610e+02 2.772310e-01 7.660710e-12 4.181190e-12 5.565320e-01 1.662370e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.400000e+01 2.810000e+02 6.132570e-02 5.724250e-03 5.000000e-04 1.023560e+05 2.662710e+01 3.230510e+00 0.000000e+00 3.158690e+02 1.326970e-01 3.062260e-11 1.671370e-11 6.678230e-01 1.994800e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.200000e+01 9.010000e+02 5.785500e-02 1.739910e-02 5.000000e-04 1.023690e+05 1.989920e+01 2.577620e+00 0.000000e+00 2.887070e+02 1.777200e-01 2.488010e-12 1.357950e-12 6.331550e-01 1.891240e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.300000e+01 2.800000e+02 6.016540e-02 5.314850e-03 5.000000e-04 1.023480e+05 2.759000e+01 2.245730e+00 0.000000e+00 3.191340e+02 1.355490e-01 3.965150e-11 2.164160e-11 6.656270e-01 1.988240e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.200000e+01 2.260000e+02 5.892390e-02 4.813450e-03 5.000000e-04 1.023540e+05 2.453680e+01 1.318670e+00 0.000000e+00 3.125260e+02 7.401950e-02 2.498030e-11 1.363410e-11 7.130050e-01 2.129760e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 6.800000e+01 1.700000e+01 5.772440e-02 0.000000e+00 5.000000e-04 1.023550e+05 2.211990e+01 2.373000e-01 0.000000e+00 2.880030e+02 1.950100e-03 6.369540e-14 3.476470e-14 7.684980e-01 2.295510e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 6.900000e+01 6.900000e+01 5.770660e-02 1.260010e-03 5.000000e-04 1.023550e+05 2.210470e+01 5.145890e-01 0.000000e+00 2.884360e+02 1.029270e-02 5.078270e-13 2.771700e-13 7.620750e-01 2.276330e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.000000e+01 1.210000e+02 5.769820e-02 2.293400e-03 5.000000e-04 1.023560e+05 2.210450e+01 9.946530e-01 0.000000e+00 2.909890e+02 2.904920e-02 2.744000e-12 1.497660e-12 7.476320e-01 2.233190e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.100000e+01 2.260000e+02 5.808780e-02 4.040170e-03 5.000000e-04 1.023540e+05 2.453680e+01 1.318670e+00 0.000000e+00 3.125260e+02 7.401950e-02 2.498030e-11 1.363410e-11 7.130050e-01 2.129760e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.500000e+01 3.280000e+02 5.676430e-02 6.665420e-03 5.000000e-04 1.023580e+05 2.372970e+01 -6.817610e-01 0.000000e+00 3.170890e+02 1.727490e-01 2.505670e-10 1.367580e-10 6.369830e-01 1.902680e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.300000e+01 9.010000e+02 5.730600e-02 1.719360e-02 5.000000e-04 1.023690e+05 1.989920e+01 2.577620e+00 0.000000e+00 2.887070e+02 1.777200e-01 2.488010e-12 1.357950e-12 6.331550e-01 1.891240e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.600000e+01 5.310000e+02 5.134610e-02 1.013710e-02 5.000000e-04 1.023440e+05 1.581790e+01 2.923400e+00 0.000000e+00 3.025020e+02 3.268690e-01 2.698720e-10 1.472950e-10 5.183110e-01 1.548200e-01 8.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 9.400000e+01 8.990000e+02 5.542050e-02 1.700380e-02 5.000000e-04 1.023430e+05 2.305600e+01 2.340810e+00 0.000000e+00 2.899150e+02 1.076320e-01 3.799420e-12 2.073710e-12 6.871230e-01 2.052450e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.130000e+02 2.730000e+02 5.375810e-02 5.255970e-03 5.000000e-04 1.023630e+05 2.245580e+01 1.478910e+00 0.000000e+00 3.104230e+02 1.047170e-01 5.735760e-10 3.130560e-10 6.893680e-01 2.059150e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.120000e+02 2.210000e+02 5.390590e-02 4.451460e-03 5.000000e-04 1.023570e+05 2.345630e+01 1.067800e+00 0.000000e+00 3.004860e+02 8.063070e-02 3.312120e-10 1.807740e-10 7.079140e-01 2.114550e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.110000e+02 1.690000e+02 5.378820e-02 3.555670e-03 5.000000e-04 1.023580e+05 2.359720e+01 4.644430e-01 0.000000e+00 2.935590e+02 4.480820e-02 1.393520e-10 7.605790e-11 7.354980e-01 2.196940e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.140000e+02 2.730000e+02 5.347350e-02 5.433910e-03 5.000000e-04 1.023630e+05 2.245580e+01 1.478910e+00 0.000000e+00 3.104230e+02 1.047170e-01 5.735760e-10 3.130560e-10 6.893680e-01 2.059150e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.100000e+02 1.690000e+02 5.364780e-02 3.036820e-03 5.000000e-04 1.023580e+05 2.359720e+01 4.644430e-01 0.000000e+00 2.935590e+02 4.480820e-02 1.393520e-10 7.605790e-11 7.354980e-01 2.196940e-01 5.000000e+00 0.000000e+00 0.000000e+00
