# PROC_ID	PARCEL_ID	CellI	X	Y	Z	p	Ux	Uy	Uz	T	C3H8	CO2	H2O	N2	O2
2	68	9	0.00907717	0	0.0005	103111	23.8432	0.223409	0	288.34	1.49119e-10	9.95672e-22	5.43434e-22	0.77	0.23
2	69	9	0.00909278	0.00077475	0.0005	103111	23.8432	0.223409	0	288.34	1.49119e-10	9.95672e-22	5.43434e-22	0.77	0.23
2	70	49	0.00911393	0.00153985	0.0005	103108	23.9139	0.0562644	0	288.339	4.66365e-09	6.54716e-21	3.57341e-21	0.77	0.23
2	71	89	0.0091089	0.00232799	0.0005	103106	23.7954	0.551607	0	288.338	1.09461e-07	3.68749e-20	2.01262e-20	0.77	0.23
2	72	129	0.00918831	0.00311816	0.0005	103099	24.0851	0.521335	0	288.339	2.15134e-06	1.64582e-19	8.98283e-20	0.769998	0.23
2	73	129	0.00921508	0.00391043	0.0005	103099	24.0851	0.521335	0	288.339	2.15134e-06	1.64582e-19	8.98283e-20	0.769998	0.23
2	74	169	0.00928872	0.00473969	0.0005	103090	23.7477	1.1219	0	288.336	4.29086e-05	6.53218e-19	3.56524e-19	0.769967	0.22999
2	75	209	0.00947534	0.00561539	0.0005	103068	24.5985	1.52254	0	288.346	0.000744053	3.30225e-18	1.80235e-18	0.769427	0.229829
2	76	249	0.00953571	0.00642464	0.0005	103048	23.5748	1.77105	0	288.436	0.00480278	9.80162e-18	5.34968e-18	0.766302	0.228895
2	77	289	0.00989144	0.00764363	0.0005	103009	24.9174	4.23258	0	288.807	0.0186414	1.08896e-16	5.94349e-17	0.755646	0.225712
2	78	330	0.0101164	0.00831949	0.0005	102974	23.5315	4.44525	0	295.976	0.0556137	1.75938e-14	9.60263e-15	0.727177	0.217209
2	79	369	0.00952851	0.00997233	0.0005	102931	18.4451	6.15526	0	359.4	0.0921345	2.14905e-13	1.17294e-13	0.699056	0.208809
2	80	449	0.00970304	0.011829	0.0005	102877	16.1068	8.04584	0	398.73	0.128487	8.53357e-12	4.65759e-12	0.671065	0.200448
2	81	368	0.00825587	0.00935861	0.0005	102930	21.3148	5.26609	0	349.251	0.167615	6.06414e-14	3.30978e-14	0.640937	0.191449
2	82	2273	-0.0239966	0.011	0.0005	104646	22.9871	-0.149691	0	288.371	1.85464e-28	4.24519e-38	2.31701e-38	0.77	0.23
2	83	2298	-0.0239966	0.018	0.0005	102043	22.806	0.122784	0	287.95	1.55836e-29	3.00215e-39	1.63856e-39	0.77	0.23
2	84	721	0.00179155	0.0186815	0.0005	102566	16.8832	0.484376	0	288.255	0.126406	2.19098e-17	1.19583e-17	0.672667	0.200927
2	85	728	0.00825527	0.0182604	0.0005	102713	21.1681	-0.633434	0	289.83	0.166297	8.39096e-16	4.57975e-16	0.641951	0.191752
2	86	769	0.00946465	0.0191684	0.0005	102692	22.2606	2.06025	0	288.391	0.0617533	3.74775e-16	2.04551e-16	0.72245	0.215797
2	87	769	0.00976193	0.0197909	0.0005	102692	22.2606	2.06025	0	288.391	0.0617533	3.74775e-16	2.04551e-16	0.72245	0.215797
2	88	809	0.00972574	0.0201332	0.0005	102677	22.1176	-0.225621	0	288.166	0.00718251	1.96356e-17	1.0717e-17	0.764469	0.228348
2	89	809	0.00985506	0.0206154	0.0005	102677	22.1176	-0.225621	0	288.166	0.00718251	1.96356e-17	1.0717e-17	0.764469	0.228348
2	90	850	0.0100011	0.021213	0.0005	102671	22.6339	-0.351854	0	288.18	0.000724615	6.0876e-18	3.32259e-18	0.769442	0.229833
2	91	849	0.00992571	0.0217223	0.0005	102659	22.3313	0.284798	0	288.19	0.000367309	3.13821e-18	1.71282e-18	0.769717	0.229916
2	92	889	0.00973028	0.0221732	0.0005	102659	21.2034	-0.484483	0	288.2	0.000439281	1.60088e-17	8.73755e-18	0.769662	0.229899
2	93	889	0.00959615	0.022685	0.0005	102659	21.2034	-0.484483	0	288.2	0.000439281	1.60088e-17	8.73755e-18	0.769662	0.229899
2	94	929	0.00926068	0.0232906	0.0005	102642	20.0546	-0.0569873	0	288.229	0.00207151	7.08771e-17	3.86844e-17	0.768405	0.229524
2	95	928	0.00823138	0.0239921	0.0005	102622	20.4553	0.64429	0	288.233	0.0015338	5.29903e-17	2.89219e-17	0.768819	0.229647
2	96	961	0.0017253	0.0242308	0.0005	102465	18.6784	-1.50899	0	288.189	0.00412081	1.2763e-16	6.966e-17	0.766827	0.229052
2	97	2448	-0.0239966	0.025	0.0005	102043	22.8223	-0.134528	0	287.95	2.1907e-30	3.85488e-40	2.10398e-40	0.77	0.23
2	106	3	0.0031572	0	0.0005	103401	23.8007	0.0548256	0	288.522	2.49087e-11	1.75001e-22	9.55148e-23	0.77	0.23
2	107	3	0.00315907	0.000734398	0.0005	103401	23.8007	0.0548256	0	288.522	2.49087e-11	1.75001e-22	9.55148e-23	0.77	0.23
2	108	43	0.00315967	0.00148369	0.0005	103394	23.7727	-0.171756	0	288.519	1.54402e-09	1.43468e-21	7.83042e-22	0.77	0.23
2	109	83	0.00314712	0.00220722	0.0005	103383	23.7004	-0.095452	0	288.515	7.60207e-08	1.00161e-20	5.46674e-21	0.77	0.23
2	110	83	0.0031508	0.00295111	0.0005	103383	23.7004	-0.095452	0	288.515	7.60207e-08	1.00161e-20	5.46674e-21	0.77	0.23
2	111	123	0.00313191	0.00367216	0.0005	103363	23.5251	-0.471412	0	288.507	3.18872e-06	6.67261e-20	3.64188e-20	0.769998	0.229999
2	112	163	0.00309706	0.00439345	0.0005	103348	23.261	-0.544811	0	288.498	9.6447e-05	4.1502e-19	2.26516e-19	0.769926	0.229978
2	113	203	0.00307589	0.00511398	0.0005	103325	22.4545	-1.44292	0	288.485	0.0018319	2.21856e-18	1.21088e-18	0.768589	0.229579
2	114	202	0.00298671	0.00582425	0.0005	103358	22.5099	-0.00207869	0	288.507	0.000136942	6.61285e-19	3.60927e-19	0.769895	0.229969
2	115	242	0.00289264	0.00658852	0.0005	103351	21.3367	1.10629	0	288.498	0.00204281	2.67325e-18	1.45905e-18	0.768427	0.22953
2	116	282	0.00275714	0.00734158	0.0005	103303	19.5044	1.21073	0	288.425	0.0181209	8.73398e-18	4.76697e-18	0.756047	0.225832
2	117	322	0.00251952	0.00836839	0.0005	103293	17.8409	4.79181	0	288.229	0.0707412	1.79299e-17	9.78606e-18	0.715529	0.21373
2	118	362	0.00229505	0.00925833	0.0005	103185	16.246	4.28345	0	288.082	0.179481	2.73361e-17	1.49199e-17	0.631799	0.188719
2	119	400	0.000891921	0.0100406	0.0005	103032	26.6505	10.2757	0	288.332	0.0251442	1.12058e-17	6.11609e-18	0.750639	0.224217
2	120	2273	-0.0239965	0.011	0.0005	104646	22.9871	-0.149691	0	288.371	1.85464e-28	4.24519e-38	2.31701e-38	0.77	0.23
2	121	2298	-0.0239966	0.018	0.0005	102043	22.806	0.122784	0	287.95	1.55836e-29	3.00215e-39	1.63856e-39	0.77	0.23
2	122	2277	-0.00278862	0.0186252	0.0005	102410	18.8181	0.356567	0	288.18	2.85441e-05	1.65271e-19	9.02045e-20	0.769978	0.229993
2	123	763	0.00340993	0.0190977	0.0005	102566	23.6726	0.814207	0	288.225	0.0202776	1.02535e-17	5.59635e-18	0.754386	0.225336
2	124	764	0.00428515	0.0195002	0.0005	102593	23.8977	-0.232295	0	288.236	0.0178359	1.1014e-17	6.01142e-18	0.756266	0.225898
2	125	764	0.00450408	0.0199448	0.0005	102593	23.8977	-0.232295	0	288.236	0.0178359	1.1014e-17	6.01142e-18	0.756266	0.225898
2	126	804	0.00448085	0.0204216	0.0005	102579	23.7029	0.150087	0	288.194	0.00091099	1.83536e-18	1.00173e-18	0.769299	0.22979
2	127	804	0.00453523	0.0209037	0.0005	102579	23.7029	0.150087	0	288.194	0.00091099	1.83536e-18	1.00173e-18	0.769299	0.22979
2	128	844	0.00458642	0.02139	0.0005	102549	24.2182	0.474912	0	288.176	2.45316e-05	2.99865e-19	1.63665e-19	0.769981	0.229994
2	129	844	0.00451677	0.021867	0.0005	102549	24.2182	0.474912	0	288.176	2.45316e-05	2.99865e-19	1.63665e-19	0.769981	0.229994
2	130	884	0.00441189	0.0223389	0.0005	102542	23.4883	0.722263	0	288.18	6.16876e-05	2.38939e-18	1.30412e-18	0.769953	0.229986
2	131	884	0.00438463	0.0228404	0.0005	102542	23.4883	0.722263	0	288.18	6.16876e-05	2.38939e-18	1.30412e-18	0.769953	0.229986
2	132	924	0.00416727	0.0233414	0.0005	102504	23.9893	1.41264	0	288.189	0.000803657	2.65701e-17	1.45019e-17	0.769381	0.229815
2	133	923	0.0033037	0.0237789	0.0005	102480	24.2912	0.668066	0	288.175	0.000798704	2.61334e-17	1.42635e-17	0.769385	0.229816
2	134	2427	-0.00285727	0.0243664	0.0005	102417	18.7795	-0.28609	0	288.185	9.78351e-07	6.07362e-20	3.31496e-20	0.769999	0.23
2	135	2448	-0.0239966	0.025	0.0005	102043	22.8223	-0.134528	0	287.95	2.1907e-30	3.85488e-40	2.10398e-40	0.77	0.23
2	144	2002	-0.00275558	0	0.0005	103711	24.0087	0.0398365	0	288.583	4.02186e-18	4.73187e-28	2.58263e-28	0.77	0.23
2	145	2002	-0.00275681	0.000755793	0.0005	103711	24.0087	0.0398365	0	288.583	4.02186e-18	4.73187e-28	2.58263e-28	0.77	0.23
2	146	2027	-0.00275776	0.00153753	0.0005	103706	24.049	0.139624	0	288.582	1.53037e-16	2.32939e-26	1.27137e-26	0.77	0.23
2	147	2052	-0.0027646	0.00228264	0.0005	103699	24.0166	0.208279	0	288.58	3.39997e-15	7.69052e-25	4.19746e-25	0.77	0.23
2	148	2077	-0.00276168	0.00306461	0.0005	103689	24.1562	0.355216	0	288.573	8.36789e-14	1.08961e-23	5.94705e-24	0.77	0.23
2	149	2077	-0.00276736	0.00382792	0.0005	103689	24.1562	0.355216	0	288.573	8.36789e-14	1.08961e-23	5.94705e-24	0.77	0.23
2	150	2102	-0.00277779	0.00458377	0.0005	103678	24.0982	0.390111	0	288.572	2.08871e-12	6.71457e-23	3.66479e-23	0.77	0.23
2	151	2127	-0.00276887	0.00537934	0.0005	103662	24.4396	0.673496	0	288.56	4.21561e-11	3.27432e-22	1.78711e-22	0.77	0.23
2	152	2152	-0.00278606	0.00612735	0.0005	103640	24.3943	0.585126	0	288.554	9.51848e-10	1.6733e-21	9.1328e-22	0.77	0.23
2	153	2152	-0.00277484	0.00692191	0.0005	103640	24.3943	0.585126	0	288.554	9.51848e-10	1.6733e-21	9.1328e-22	0.77	0.23
2	154	2177	-0.00276409	0.00770374	0.0005	103613	25.1965	1.11583	0	288.534	2.36699e-08	8.12234e-21	4.43314e-21	0.77	0.23
2	155	2202	-0.00278407	0.00845829	0.0005	103570	25.192	0.573078	0	288.525	7.36367e-07	4.94614e-20	2.69958e-20	0.769999	0.23
2	156	2227	-0.00288737	0.00928267	0.0005	103540	26.1029	1.40433	0	288.531	1.16366e-05	2.23407e-19	1.21934e-19	0.769991	0.229997
2	157	2254	-0.00425475	0.010054	0.0005	103713	21.6725	0.27427	0	288.635	1.05789e-06	5.74274e-20	3.13437e-20	0.769999	0.23
2	158	2273	-0.0239966	0.011	0.0005	104646	22.9871	-0.149691	0	288.371	1.85464e-28	4.24519e-38	2.31701e-38	0.77	0.23
2	159	2298	-0.0239966	0.018	0.0005	102043	22.806	0.122784	0	287.95	1.55836e-29	3.00215e-39	1.63856e-39	0.77	0.23
2	160	2282	-0.00731874	0.0186042	0.0005	102268	19.8162	0.115566	0	288.032	1.68747e-11	1.14098e-22	6.22742e-23	0.77	0.23
2	161	2302	-0.00229999	0.0191016	0.0005	102406	22.4211	0.0158559	0	288.125	1.96612e-06	4.11971e-20	2.24852e-20	0.769998	0.23
2	162	2301	-0.00175697	0.0195737	0.0005	102432	22.3805	0.213254	0	288.148	3.3388e-05	1.78146e-19	9.72311e-20	0.769974	0.229992
2	163	2326	-0.0015963	0.0200584	0.0005	102442	22.5045	0.0758658	0	288.132	6.48645e-07	2.03794e-20	1.1123e-20	0.77	0.23
2	164	2326	-0.00159608	0.0205409	0.0005	102442	22.5045	0.0758658	0	288.132	6.48645e-07	2.03794e-20	1.1123e-20	0.77	0.23
2	165	2351	-0.00156928	0.0210152	0.0005	102429	23.0306	-0.0183036	0	288.119	5.50979e-09	1.71522e-21	9.36161e-22	0.77	0.23
2	166	2351	-0.00155179	0.0214844	0.0005	102429	23.0306	-0.0183036	0	288.119	5.50979e-09	1.71522e-21	9.36161e-22	0.77	0.23
2	167	2351	-0.00157426	0.0219565	0.0005	102429	23.0306	-0.0183036	0	288.119	5.50979e-09	1.71522e-21	9.36161e-22	0.77	0.23
2	168	2376	-0.00160677	0.02243	0.0005	102443	22.5648	-0.31464	0	288.134	2.738e-08	5.40828e-21	2.95182e-21	0.77	0.23
2	169	2376	-0.00161357	0.0229135	0.0005	102443	22.5648	-0.31464	0	288.134	2.738e-08	5.40828e-21	2.95182e-21	0.77	0.23
