# PROC_ID PARCEL_ID CellI X Y Z p Ux Uy Uz T C3H8 CO2 H2O N2 O2 largest_pointer wherePositive largest_pointerWP
2.000000e+00 6.800000e+01 9.000000e+00 9.077170e-03 0.000000e+00 5.000000e-04 1.031110e+05 2.384320e+01 2.234090e-01 0.000000e+00 2.883400e+02 1.491190e-10 9.956720e-22 5.434340e-22 7.700000e-01 2.300000e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 6.900000e+01 9.000000e+00 9.092780e-03 7.747500e-04 5.000000e-04 1.031110e+05 2.384320e+01 2.234090e-01 0.000000e+00 2.883400e+02 1.491190e-10 9.956720e-22 5.434340e-22 7.700000e-01 2.300000e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.000000e+01 4.900000e+01 9.113930e-03 1.539850e-03 5.000000e-04 1.031080e+05 2.391390e+01 5.626440e-02 0.000000e+00 2.883390e+02 4.663650e-09 6.547160e-21 3.573410e-21 7.700000e-01 2.300000e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.100000e+01 8.900000e+01 9.108900e-03 2.327990e-03 5.000000e-04 1.031060e+05 2.379540e+01 5.516070e-01 0.000000e+00 2.883380e+02 1.094610e-07 3.687490e-20 2.012620e-20 7.700000e-01 2.300000e-01 9.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.200000e+01 1.290000e+02 9.188310e-03 3.118160e-03 5.000000e-04 1.030990e+05 2.408510e+01 5.213350e-01 0.000000e+00 2.883390e+02 2.151340e-06 1.645820e-19 8.982830e-20 7.699980e-01 2.300000e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.300000e+01 1.290000e+02 9.215080e-03 3.910430e-03 5.000000e-04 1.030990e+05 2.408510e+01 5.213350e-01 0.000000e+00 2.883390e+02 2.151340e-06 1.645820e-19 8.982830e-20 7.699980e-01 2.300000e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.400000e+01 1.690000e+02 9.288720e-03 4.739690e-03 5.000000e-04 1.030900e+05 2.374770e+01 1.121900e+00 0.000000e+00 2.883360e+02 4.290860e-05 6.532180e-19 3.565240e-19 7.699670e-01 2.299900e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.500000e+01 2.090000e+02 9.475340e-03 5.615390e-03 5.000000e-04 1.030680e+05 2.459850e+01 1.522540e+00 0.000000e+00 2.883460e+02 7.440530e-04 3.302250e-18 1.802350e-18 7.694270e-01 2.298290e-01 6.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.600000e+01 2.490000e+02 9.535710e-03 6.424640e-03 5.000000e-04 1.030480e+05 2.357480e+01 1.771050e+00 0.000000e+00 2.884360e+02 4.802780e-03 9.801620e-18 5.349680e-18 7.663020e-01 2.288950e-01 5.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7.700000e+01 2.890000e+02 9.891440e-03 7.643630e-03 5.000000e-04 1.030090e+05 2.491740e+01 4.232580e+00 0.000000e+00 2.888070e+02 1.864140e-02 1.088960e-16 5.943490e-17 7.556460e-01 2.257120e-01 5.000000e+00 0.000000e+00 0.000000e+00
