# PROC_ID	PARCEL_ID	CellI	X	Y	Z	p	Ux	Uy	Uz	T	C3H8	CO2	H2O	N2	O2
2	63	2536	0.132043	0.0486415	0.0005	111667	28.0875	1.02644	0	523.348	0.243253	0.0483765	0.0264037	0.570188	0.111779
2	175	2583	0.12731	0.0496324	0.0005	111962	19.7164	0.75171	0	356.756	0.26798	0.0161518	0.00881559	0.559467	0.147585
2	217	2587	0.131742	0.049306	0.0005	111736	24.2388	-1.27514	0	391.434	0.246554	0.0375082	0.0204718	0.570442	0.125023
2	66	2535	0.13179	0.0484159	0.0005	111712	28.1108	1.29123	0	517.897	0.255485	0.0354962	0.0193737	0.564095	0.12555
2	102	2478	0.126469	0.0476076	0.0005	111802	21.4592	2.04373	0	511.736	0.246655	0.0408569	0.0222995	0.569527	0.120661
2	255	2279	0.135137	0.0438567	0.0005	111921	43.4119	-0.470245	0	1501.58	0.163114	0.149425	0.0815555	0.605906	5.52757e-13
2	292	2277	0.133878	0.0434931	0.0005	111877	45.0508	-0.184634	0	1548.18	0.139189	0.153687	0.0838819	0.623242	3.05259e-14
2	218	2477	0.125357	0.0472135	0.0005	111746	19.3686	1.36877	0	503.175	0.238381	0.0460743	0.0251472	0.574559	0.11584
2	293	2367	0.119775	0.0457484	0.0005	111817	25.7429	-4.47126	0	1567.53	0.152286	0.151331	0.0825958	0.613777	1.00169e-05
2	179	2516	0.112883	0.0482595	0.0005	112201	20.7857	-0.967783	0	342.799	0.187237	0.0250087	0.0136497	0.619381	0.154724
2	139	2514	0.110391	0.048351	0.0005	112144	21.0727	-0.955492	0	399.235	0.170721	0.0394255	0.0215183	0.628388	0.139947
2	140	2458	0.106582	0.0479982	0.0005	112419	28.4091	-4.40674	0	1844.37	0.0875767	0.162234	0.0885467	0.660824	0.000819149
2	633	718	0.134841	0.0132263	0.0005	111444	76.8612	2.85633	0	1472.22	0.289571	0.126844	0.0692309	0.514354	5.62908e-24
2	519	758	0.122435	0.014163	0.0005	111887	66.7208	1.27606	0	1491.32	0.256683	0.132705	0.0724301	0.538181	2.93342e-24
2	594	651	0.11986	0.0124969	0.0005	111981	74.7257	1.92872	0	1390.61	0.360063	0.11427	0.0623679	0.463299	2.5709e-19
2	707	501	0.125484	0.00980636	0.0005	111877	92.0656	3.18999	0	1572.73	0.229828	0.137513	0.0750541	0.557605	4.28767e-12
2	708	338	0.118419	0.00685077	0.0005	112084	91.7358	4.22797	0	1887.75	0.0351	0.172178	0.093974	0.698676	7.1982e-05
2	709	491	0.115907	0.00917912	0.0005	112174	86.3304	1.51111	0	1508.09	0.294441	0.125988	0.068764	0.510806	1.05943e-13
2	669	282	0.114771	0.00594921	0.0005	112131	80.884	3.11766	0	1900	0.00108493	0.17749	0.0968731	0.72351	0.0010426
2	634	590	0.11005	0.0118016	0.0005	112194	76.1395	0.376249	0	1363.57	0.391535	0.108654	0.0593031	0.440507	6.56059e-20
2	407	788	0.100583	0.015137	0.0005	112254	61.5228	1.82861	0	1455.64	0.255829	0.132841	0.0725042	0.538826	1.48224e-28
2	631	530	0.102314	0.0108711	0.0005	112323	78.5605	1.87639	0	1437.48	0.339913	0.117874	0.0643349	0.477879	1.06128e-16
2	557	736	0.100727	0.0143107	0.0005	112268	65.8751	1.75168	0	1336.23	0.335909	0.118554	0.0647065	0.48083	3.88485e-26
2	142	1149	0.0976323	0.0223085	0.0005	112179	60.418	-2.44253	0	1899.64	0.0642667	0.167015	0.0911563	0.677562	9.15983e-49
2	444	784	0.0965383	0.0154605	0.0005	112332	62.4004	1.40891	0	1374.21	0.31028	0.123122	0.0671996	0.499398	3.20276e-29
2	672	676	0.0926163	0.0135632	0.0005	112550	69.2405	0.0769185	0	1254.4	0.418212	0.103869	0.0566913	0.421228	4.46618e-27
2	783	468	0.0928228	0.00922194	0.0005	112530	83.3372	0.455308	0	1559.42	0.251729	0.13359	0.0729126	0.541769	6.81756e-17
2	104	1639	0.0671193	0.031161	0.0005	112638	76.6246	-13.5052	0	1900	0.0526388	0.169087	0.0922872	0.685984	3.08727e-06
2	141	1894	0.0629053	0.0362782	0.0005	113756	7.88001	-8.29259	0	319.497	0.108551	0.00434532	0.00237166	0.685299	0.199433
2	178	1291	0.0830319	0.0244645	0.0005	112612	53.6286	-3.76511	0	1900	0.0570646	0.1683	0.0918573	0.682778	3.0014e-33
2	405	831	0.0915646	0.0155828	0.0005	112548	62.5815	0.0103823	0	1329.26	0.323521	0.120755	0.0659077	0.489816	5.88035e-33
2	480	827	0.0875395	0.015739	0.0005	112705	62.9044	-1.36475	0	1290.35	0.335312	0.118647	0.0647571	0.481283	2.38674e-30
2	520	966	0.0707076	0.0180575	0.0005	112748	58.6112	-10.6227	0	1406.51	0.20999	0.141008	0.0769615	0.572041	1.50755e-17
2	558	966	0.0705248	0.01805	0.0005	112748	58.6112	-10.6227	0	1406.51	0.20999	0.141008	0.0769615	0.572041	1.50755e-17
2	522	964	0.0680583	0.018231	0.0005	112695	61.1565	-13.5303	0	1381.38	0.218282	0.139528	0.0761537	0.566036	2.48327e-15
2	673	725	0.0896764	0.0133305	0.0005	112663	68.5779	-0.784064	0	1250.3	0.420304	0.103495	0.0564874	0.419713	2.54415e-27
2	636	718	0.0826132	0.0133577	0.0005	112878	66.7979	-2.64564	0	1250.61	0.431612	0.101483	0.0553889	0.411517	2.17582e-24
